id,Категория
843,0
1422,0
2782,0
2704,0
1,0
68,0
2408,0
1587,0
1504,0
880,0
258,0
2125,0
2687,0
359,0
1741,0
1452,0
1537,0
2876,0
351,0
1393,0
2024,0
656,0
480,0
2760,0
2928,0
1780,0
2930,0
2476,0
1308,0
15,0
970,0
2141,0
1135,0
1612,0
1736,0
1035,0
565,0
512,0
872,0
875,0
1424,0
959,0
2603,0
1695,0
1862,0
2991,0
1118,0
341,0
2644,0
1293,0
1672,0
176,0
2864,0
2158,0
2412,0
283,0
444,0
2152,0
573,0
2935,0
2287,0
1396,0
2753,0
1489,0
644,0
1152,0
803,0
2105,0
30,0
2664,0
1912,0
2255,0
2909,0
631,0
2442,0
2065,0
299,0
2884,0
509,0
2510,0
2426,0
1961,0
599,0
2339,0
1722,0
204,0
2827,0
2819,0
2984,0
1819,0
2895,0
2474,0
2443,0
350,0
2281,0
2996,0
2749,0
882,0
595,0
2179,0
2367,0
1507,0
1314,0
2710,0
2964,0
901,0
1124,0
238,0
1106,0
2091,0
2422,0
124,0
898,0
598,0
789,0
197,0
2701,0
1232,0
2418,0
1207,0
1660,0
2767,0
49,0
2739,0
2090,0
2283,0
2444,0
858,0
1794,0
70,0
2532,0
394,0
686,0
1499,0
1733,0
1115,0
1033,0
619,0
271,0
810,0
109,0
859,0
2836,0
839,0
1433,0
58,0
158,0
1652,0
811,0
1114,0
757,0
2725,0
135,0
1884,0
1214,0
1072,0
999,0
2145,0
297,0
2068,0
2309,0
2907,0
2747,0
2959,0
352,0
279,0
980,0
2226,0
2088,0
2471,0
730,0
1174,0
1337,0
2777,0
545,0
2848,0
178,0
701,0
1018,0
458,0
1101,0
1950,0
1273,0
1568,0
325,0
2124,0
1290,0
1966,0
2420,0
1437,0
2361,0
1638,0
2191,0
2597,0
2582,0
1345,0
1279,0
1673,0
519,0
1193,0
2345,0
848,0
2595,0
2293,0
2719,0
1408,0
1584,0
2195,0
2156,0
1594,0
1744,0
692,0
200,0
2847,0
1221,0
1573,0
230,0
2452,0
219,0
1508,0
2084,0
180,0
2407,0
412,0
2229,0
1179,0
1913,0
531,0
2620,0
1579,0
2888,0
150,0
614,0
2335,0
1781,0
1129,0
2196,0
290,0
1916,0
1878,0
1816,0
787,0
2506,0
2333,0
423,0
2247,0
812,0
1940,0
550,0
1615,0
2009,0
913,0
2638,0
870,0
1992,0
1117,0
679,0
1236,0
2393,0
2637,0
355,0
1447,0
1363,0
2570,0
818,0
2324,0
1689,0
1335,0
928,0
52,0
163,0
742,0
451,0
436,0
600,0
2953,0
315,0
1289,0
2026,0
597,0
863,0
1322,0
1150,0
533,0
1076,0
671,0
2706,0
845,0
1026,0
1861,0
74,0
2207,0
2211,0
388,0
2096,0
1264,0
1230,0
2856,0
496,0
2717,0
1392,0
1287,0
1443,0
2308,0
747,0
441,0
2862,0
1753,0
1098,0
745,0
841,0
2640,0
2731,0
1081,0
2419,0
2689,0
1449,0
2378,0
2817,0
1841,0
1771,0
1892,0
1619,0
1399,0
33,0
2660,0
1400,0
1534,0
2746,0
457,0
2589,0
2942,0
2019,0
2164,0
1578,0
2014,0
2787,0
2045,0
945,0
2291,0
1056,0
943,0
1749,0
2139,0
791,0
2917,0
1922,0
437,0
184,0
655,0
1386,0
536,0
2989,0
583,0
1085,0
602,0
2556,0
1158,0
1526,0
1413,0
2113,0
658,0
2484,0
2148,0
931,0
1539,0
1777,0
562,0
323,0
1454,0
483,0
228,0
2628,0
45,0
319,0
1201,0
94,0
743,0
1091,0
1468,0
568,0
696,0
1847,0
1481,0
1000,0
2421,0
1271,0
2826,0
1498,0
2849,0
421,0
846,0
1730,0
1235,0
1274,0
813,0
1930,0
2250,0
612,0
2924,0
1840,0
1818,0
1984,0
1739,0
830,0
1968,0
1191,0
1160,0
1048,0
248,0
1506,0
2121,0
479,0
2881,0
2298,0
2759,0
408,0
652,0
2331,0
2713,0
1196,0
2097,0
2276,0
2630,0
1510,0
322,0
1821,0
1042,0
310,0
1065,0
2547,0
927,0
2852,0
2326,0
344,0
2703,0
314,0
2504,0
622,0
2652,0
1832,0
777,0
2030,0
2409,0
1451,0
1054,0
1784,0
424,0
1024,0
1948,0
2520,0
2635,0
1651,0
1745,0
2235,0
950,0
2679,0
1090,0
1763,0
1227,0
71,0
2187,0
1394,0
2115,0
434,0
1069,0
1094,0
